"Ext","Count","TotalSizeMB","Oldest","Newest"
".gitignore","2",,"31/08/2026 13:22:45","10/09/2026 17:21:40"
".py","3298",,"9/08/2026 0:08:57","10/09/2026 17:23:55"
".backup","8",,"9/08/2026 0:20:52","2/09/2026 1:10:03"
".bat","6",,"31/08/2026 0:09:26","10/09/2026 17:23:18"
".diff","3",,"20/08/2026 3:46:04","30/08/2026 21:45:14"
".BACKUP_MATCH","1",,"9/08/2026 17:33:28","9/08/2026 17:33:28"
".txt","107",,"9/08/2026 18:26:10","10/09/2026 17:23:55"
".patch","2",,"20/08/2026 17:35:17","30/08/2026 21:45:14"
".spec","2",,"23/08/2026 19:22:27","30/08/2026 18:00:00"
".md","9",,"30/08/2026 21:45:14","10/09/2026 17:23:54"
".log","1",,"10/08/2026 1:07:20","10/08/2026 1:07:20"
".toc","5",,"30/08/2026 18:03:53","30/08/2026 18:03:54"
".zip","3",,"23/08/2026 19:22:28","30/08/2026 18:03:54"
".exe","75",,"23/08/2026 19:22:22","10/09/2026 17:23:57"
".pkg","1",,"30/08/2026 18:03:53","30/08/2026 18:03:53"
".pyz","1",,"30/08/2026 18:03:53","30/08/2026 18:03:53"
".html","1",,"30/08/2026 18:03:53","30/08/2026 18:03:53"
".pyc","2596",,"30/08/2026 18:03:53","10/09/2026 17:23:57"
".jpg","1662",,"13/08/2026 3:15:24","10/09/2026 2:27:57"
".db","105",,"9/08/2026 0:28:58","10/09/2026 2:36:14"
".json","157",,"10/08/2026 1:38:00","10/09/2026 17:24:25"
".csv","4",,"11/08/2026 0:46:58","23/08/2026 19:22:29"
".backup_storage_fix","1",,"9/08/2026 2:07:19","9/08/2026 2:07:19"
".before_exe_db_fix","1",,"24/08/2026 17:41:02","24/08/2026 17:41:02"
".tmp","1","0,0364303588867188","23/08/2026 21:13:43","23/08/2026 21:13:43"
".dll","402",,"23/08/2026 19:22:22","10/09/2026 17:23:43"
".pyd","114",,"23/08/2026 19:22:22","10/09/2026 17:23:49"
".pem","5",,"23/08/2026 19:22:28","10/09/2026 17:23:20"
".typed","83",,"23/08/2026 19:22:23","10/09/2026 17:23:55"
".webp","2",,"23/08/2026 19:22:29","30/08/2026 18:03:54"
".qm","428",,"23/08/2026 19:22:27","30/08/2026 18:03:54"
".before_cd_nav_fix","1",,"30/08/2026 18:32:52","30/08/2026 18:32:52"
".before_cd_nav_fix2","1",,"30/08/2026 18:32:52","30/08/2026 18:32:52"
".bak","3",,"10/08/2026 16:55:15","30/08/2026 18:23:25"
".BEFORE_FULL_MENU_RESTORE_20260830","1",,"30/08/2026 18:38:27","30/08/2026 18:38:27"
".BEFORE_REPAIR_20260830","1",,"30/08/2026 18:32:52","30/08/2026 18:32:52"
".backup_final_bool_fix","1",,"9/08/2026 4:32:46","9/08/2026 4:32:46"
".backup_select_result","1",,"9/08/2026 4:24:40","9/08/2026 4:24:40"
".backup_select_result_20260809_043004","1",,"9/08/2026 4:24:40","9/08/2026 4:24:40"
".bak_before_link_fix","1",,"2/09/2026 20:06:03","2/09/2026 20:06:03"
".bak_before_thread_fix","1",,"2/09/2026 0:53:43","2/09/2026 0:53:43"
".backup_after_mp3_link_20260809_042733","1",,"9/08/2026 4:26:27","9/08/2026 4:26:27"
".backup_after_mp3_link_20260809_042921","1",,"9/08/2026 4:27:33","9/08/2026 4:27:33"
".backup_buttons_20260809_155919","1",,"9/08/2026 15:57:48","9/08/2026 15:57:48"
".backup_button_width_20260809_160306","1",,"9/08/2026 16:01:58","9/08/2026 16:01:58"
".backup_connect_fix","1",,"9/08/2026 4:37:33","9/08/2026 4:37:33"
".backup_final_unlink_fix","1",,"9/08/2026 4:36:28","9/08/2026 4:36:28"
".backup_import_fix_20260809_042627","1",,"9/08/2026 4:25:21","9/08/2026 4:25:21"
".backup_mp3_search_20260809_042521","1",,"9/08/2026 2:04:06","9/08/2026 2:04:06"
".backup_refresh","1",,"9/08/2026 4:37:33","9/08/2026 4:37:33"
".backup_refresh_20260809_155747","1",,"9/08/2026 4:37:33","9/08/2026 4:37:33"
".backup_refresh_final","1",,"9/08/2026 16:10:47","9/08/2026 16:10:47"
